epoch,lr,loss,iou,val_loss,val_iou
0,0.01,0.8951359144071254,0.20796697224944508,0.9457415715757623,0.10777995077037271
1,0.01,0.5136750671194821,0.4636466125214046,0.453938330512449,0.49862964346095867
2,0.01,0.43241989685267934,0.5223656033042535,0.3997649019023022,0.5548035775697299
3,0.01,0.3834383792993499,0.5641872561479714,0.3615970819829458,0.5865365156157927
4,0.01,0.3553040303835055,0.5898038431342753,0.3264298227178045,0.6134356311831051
5,0.01,0.3391421877029466,0.6056756105670338,0.3315797304532614,0.6064396809468174
6,0.01,0.33137060956257147,0.6132815166608668,0.31498600847749825,0.6257788436234485
7,0.01,0.324103964538109,0.6203409640926235,0.31776012570024975,0.6259738248061757
8,0.01,0.31719278380638216,0.6273843405280635,0.30066374123814593,0.6406851109904254
9,0.01,0.3097290345808355,0.6349248221493118,0.2931564378451152,0.6478363939821858
10,0.01,0.30319645492041986,0.6405838113558455,0.29241013383290854,0.6492824055362489
11,0.01,0.2979193744136066,0.6468360196172771,0.28207566436514797,0.6594388757303391
12,0.01,0.2964473621147435,0.648042976944339,0.286686443779842,0.6547593835577374
13,0.01,0.2945668686453889,0.6504856694917517,0.27721955295068673,0.6649788685917487
14,0.01,0.28889767244094755,0.6561840593284346,0.278818380042731,0.6644190279321291
15,0.01,0.2874119165467053,0.6572105600978533,0.2753049440412636,0.6674027799230853
16,0.01,0.28533708140617464,0.659865508130803,0.2760812112365861,0.6650944714035038
17,0.01,0.28548183419355533,0.6597847103400571,0.28511914646769143,0.6588042723555422
18,0.01,0.288404321888598,0.6567260337892074,0.27372644823717784,0.6700309379705869
19,0.01,0.28249354678683164,0.6621979632877036,0.26568391595978336,0.6772762140421176
20,0.01,0.27942114087139686,0.6654423706061494,0.26773987189832943,0.676565844048122
21,0.01,0.2744832767582521,0.6708509896778265,0.26100146339600344,0.6822445846291155
22,0.01,0.2730830424442524,0.6725213201092692,0.26074136272970455,0.6829830532767591
23,0.01,0.2716143936282251,0.673872884232486,0.266495661922248,0.6773818802252876
24,0.01,0.2704904762710013,0.6748203017459419,0.26235010968633443,0.680697029076249
25,0.01,0.27248290272020714,0.6732594856582756,0.2691443120858755,0.6725556587474185
26,0.01,0.27107899636030197,0.6738291586086435,0.25828202176524934,0.6847998631969477
27,0.01,0.2690289254959037,0.6768878947909628,0.255623494286135,0.6881326895668973
28,0.01,0.2661712385895776,0.6793207810838305,0.25590254474117097,0.6875519704214209
29,0.01,0.2669084700869351,0.6790830166404623,0.2549523883555309,0.6890817014435489
30,0.01,0.26374084320737096,0.6821857555943056,0.2544716718685196,0.68925291539722
31,0.01,0.2624003243882482,0.6838309011343306,0.252916814332985,0.6905049516013719
32,0.01,0.2622207892013759,0.6840581341562565,0.2560653706271964,0.6873741408534266
33,0.01,0.2623576469174245,0.683423203241398,0.2512708891587085,0.6930873515704011
34,0.01,0.2603661826834446,0.6854019081301749,0.2504781247621559,0.6930225201457423
35,0.01,0.26165101749867925,0.6848067370615202,0.25061285064881106,0.6935816774947116
36,0.01,0.2598099076166386,0.6866765976935487,0.25003049962491875,0.6947666373312401
37,0.01,0.2582264409922972,0.6883210574839237,0.24666612263185433,0.6979075859541342
38,0.01,0.25699126320641213,0.6893997564264683,0.24623237550258636,0.6989863701867768
39,0.01,0.2594287591736491,0.6872665576768061,0.24714145818388605,0.698030816495195
40,0.01,0.26014738911535684,0.6860079580456636,0.24838106316256237,0.6959457793503013
41,0.01,0.2542666791052353,0.6924999094680013,0.24651960454073296,0.697539611028241
42,0.01,0.25665527273242067,0.6900429675196545,0.2448072158787624,0.7005601864066923
43,0.01,0.25357083303899297,0.6926609607153132,0.24334162222333702,0.701544478505472
44,0.01,0.2525293283709666,0.6946562010877582,0.24705890467367977,0.6974979069143786
45,0.01,0.25337143860212186,0.6939193563215886,0.24432614607265196,0.7013329603224353
46,0.01,0.25100241964910086,0.6962877710154629,0.24510905685195003,0.7001939008040342
47,0.01,0.2531428329828309,0.6945190611097206,0.24638257471911879,0.6980193004066861
48,0.01,0.2510736241209798,0.695812647687754,0.24673916614917388,0.6987207676226724
49,0.01,0.24922323281445155,0.6980668806269588,0.24085403924964996,0.7046648235550392
50,0.01,0.25005175482209135,0.6975900838596741,0.24211701212159123,0.7032853727533038
51,0.01,0.2482469125491817,0.6996096924237072,0.23954615804804377,0.7063416231987849
52,0.01,0.2496234772772324,0.6978698410467694,0.2411541358893176,0.7048737190727535
53,0.01,0.24621491533953968,0.7013058990015282,0.24056034598005824,0.7061373317615199
54,0.01,0.24589496542040895,0.7019089384448406,0.23879993787731033,0.7071071670644301
55,0.01,0.2448726565372653,0.7031948648480517,0.23837895547769156,0.7079558427159958
56,0.01,0.2464102508454788,0.701789202394858,0.2382978305041072,0.7079586330985513
57,0.01,0.2462257668375969,0.7022268401927568,0.2368694644376456,0.7099745414710901
58,0.01,0.2433227358794794,0.7050341453232266,0.23648372292518616,0.7100171171305518
59,0.01,0.24548452638271379,0.7032378509873514,0.23657065199082156,0.7103506912635826
60,0.01,0.24198953716493235,0.7064365945917781,0.23678179103207875,0.7107437504235482
61,0.01,0.24251829505693623,0.7059139371094291,0.2357555114361177,0.7104708691922307
62,0.01,0.2420906350016594,0.7067007454391261,0.2341295356851026,0.7126621518997863
63,0.01,0.24187949009057952,0.7065312613051534,0.23515008641294685,0.7116394667411936
64,0.01,0.23951608069786212,0.7094856565033741,0.23446792687278195,0.7126508704126955
65,0.01,0.23840143077257203,0.7104659156133339,0.23304205935403524,0.7138842358449075
66,0.01,0.2422830326164641,0.7067666411875846,0.23446736906666354,0.712537024407112
67,0.01,0.2399649053085141,0.7090421809929293,0.23714688905032286,0.7088635016265702
68,0.01,0.238283890049632,0.7107463438898126,0.23500346167978034,0.7114650761847842
69,0.01,0.23934348799833438,0.7099148890743932,0.23247603874608694,0.71463762399973
